name,p4_url,http_status,n_outgal,complexity_rank,best_outgal,all_outgals,error
PGC052940,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC052940/P4/,200,2,2,PGC052940_twocomp.outgal,"[""PGC052940_onecomp.outgal"", ""PGC052940_twocomp.outgal""]",
PGC053093,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC053093/P4/,200,3,3,PGC053093_dbarfn.outgal,"[""PGC053093_dbarfn.outgal"", ""PGC053093_onecomp.outgal"", ""PGC053093_twocomp.outgal""]",
PGC053303,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC053303/P4/,404,0,0,,[],
PGC053583,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC053583/P4/,404,0,0,,[],
PGC053654,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC053654/P4/,404,0,0,,[],
PGC053779,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC053779/P4/,200,3,3,PGC053779_ddbar.outgal,"[""PGC053779_ddbar.outgal"", ""PGC053779_onecomp.outgal"", ""PGC053779_twocomp.outgal""]",
PGC053977,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC053977/P4/,404,0,0,,[],
PGC054944,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC054944/P4/,200,3,3,PGC054944_dbarf.outgal,"[""PGC054944_dbarf.outgal"", ""PGC054944_onecomp.outgal"", ""PGC054944_twocomp.outgal""]",
PGC066242,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC066242/P4/,200,3,3,PGC066242_dbar.outgal,"[""PGC066242_dbar.outgal"", ""PGC066242_onecomp.outgal"", ""PGC066242_twocomp.outgal""]",
PGC066559,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC066559/P4/,200,3,3,PGC066559_dbarf.outgal,"[""PGC066559_dbarf.outgal"", ""PGC066559_onecomp.outgal"", ""PGC066559_twocomp.outgal""]",
PGC067871,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC067871/P4/,200,3,3,PGC067871_dbar.outgal,"[""PGC067871_dbar.outgal"", ""PGC067871_onecomp.outgal"", ""PGC067871_twocomp.outgal""]",
PGC068401,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC068401/P4/,404,0,0,,[],
PGC068743,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC068743/P4/,404,0,0,,[],
PGC068771,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC068771/P4/,200,3,3,PGC068771_dbar.outgal,"[""PGC068771_dbar.outgal"", ""PGC068771_onecomp.outgal"", ""PGC068771_twocomp.outgal""]",
PGC069293,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC069293/P4/,200,3,3,PGC069293_d.outgal,"[""PGC069293_d.outgal"", ""PGC069293_onecomp.outgal"", ""PGC069293_twocomp.outgal""]",
PGC069339,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC069339/P4/,200,3,3,PGC069339_d.outgal,"[""PGC069339_d.outgal"", ""PGC069339_onecomp.outgal"", ""PGC069339_twocomp.outgal""]",
PGC069381,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC069381/P4/,404,0,0,,[],
PGC069448,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC069448/P4/,200,3,3,PGC069448_dn.outgal,"[""PGC069448_dn.outgal"", ""PGC069448_onecomp.outgal"", ""PGC069448_twocomp.outgal""]",
PGC070104,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC070104/P4/,404,0,0,,[],
PGC070154,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC070154/P4/,404,0,0,,[],
PGC070787,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC070787/P4/,404,0,0,,[],
PGC072252,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC072252/P4/,200,3,3,PGC072252_dbarfn.outgal,"[""PGC072252_dbarfn.outgal"", ""PGC072252_onecomp.outgal"", ""PGC072252_twocomp.outgal""]",
PGC083842,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC083842/P4/,404,0,0,,[],
PGC1010767,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC1010767/P4/,404,0,0,,[],
PGC1034827,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC1034827/P4/,404,0,0,,[],
PGC1059326,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC1059326/P4/,200,3,3,PGC1059326_dbar.outgal,"[""PGC1059326_dbar.outgal"", ""PGC1059326_onecomp.outgal"", ""PGC1059326_twocomp.outgal""]",
PGC1063216,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC1063216/P4/,200,3,3,PGC1063216_dbarn.outgal,"[""PGC1063216_dbarn.outgal"", ""PGC1063216_onecomp.outgal"", ""PGC1063216_twocomp.outgal""]",
PGC128826,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC128826/P4/,404,0,0,,[],
PGC132468,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC132468/P4/,404,0,0,,[],
PGC158719,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC158719/P4/,404,0,0,,[],
PGC170100,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC170100/P4/,404,0,0,,[],
PGC282435,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC282435/P4/,404,0,0,,[],
PGC3097691,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC3097691/P4/,404,0,0,,[],
PGC3097702,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC3097702/P4/,404,0,0,,[],
PGC891484,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC891484/P4/,404,0,0,,[],
PGC896975,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC896975/P4/,404,0,0,,[],
PGC924727,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC924727/P4/,404,0,0,,[],
